sample_id,cluster,alpha,simpson,river.id,sample.type,location.id,sampling.type,replicate.id,original.id,Date,Start_Time,Time_zone,Stream_Name,Stream_Order,City,State_or_Province,Country,General_Vegetation,Weather,Hydrogeomorphology,River_Gradient,Intermittent_or_Perennial,Sediment,Distance_DS.and.MS_meters,Distance_MS.and.US_meters,Primary.Sources.Flow.Variation,pH,Temp_degC,DO_perc.sat,DO_mg.per.L,Algal.Mat.Coverage,Depositional.Type,Latitude_dec.deg,Longitude_dec.deg,Macrophyte.Coverage,Sunlight.Access_Perc.Canopy.Cover,Water.Column.Height_cm,Sampler_Organization,Associated_Site,Sampler_Name,Approx.Distance.From.Gauge_meters,Discharge_Link,US.or.DS.of.Gauge,Gauge_Latitude_dec.deg,Gauge_Longitude_dec.deg,Met.Station.Nearby,Met.Station,Precipitation.Within.Week,Number.Days.Since.Precip,Dam.Upstream.Site,Dam,Contamination.Source.Upstream,Contamination.Source,Water.Quality.Data.Available,Water.Quality.Data,Known.Data,Published.Work.On.Site,Published.Work,Notes,Study_Code,resprate_mg.L.h,resp.inc.time.min,resp.r2,resp.pval,NPOC_mg.L.asC,del2H_permil,del18O_permil,Cl_mgL,SO4_mgL,NO3_mgL,NO2_mgL,F_mgL
SW_S19S.0006_U_2,Most,2277,0.999560826,S19S.0006,SW,U,,2.0,S19S_0006_ICR.2_p05,29-Jul-19,9:45,EST,Dead Run,2.0,Baltimore,Maryland,USA,Broadleaf deciduous tree. Shrub,Sunny,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Gravel/cobble (>2mm),40.5,29.0,Natural flow (seasonal),7.5,25.7,,,,,,,,,,Baltimore Ecosystem Study,NSF Long Term Ecological Research (LTER) site: Baltimore Ecosystem Study,Ben Glass-Siegel. Maura Roth-Gormley. Annie Blalock,17,https://waterdata.usgs.gov/md/nwis/uv?site_no=01589330,Upstream,39.31122222,-76.71666667,Yes,Baltimore Washington International Airport https://w1.weather.gov/data/obhistory/KBWI.html,No,6,No,,Yes,major highway I-70,Yes,,,Yes,,Conductivity: 1430 millisiemens. Conductivity and temperature tested with ECTestr11 Dual Range. Amber tube with yellow tape was mistakenly briefly unscrewed before sampling. ,WHONDRS_S19S,,,,,1.62,,,286.25,30.48,6.1,0.04,0.12
SW_S19S.0006_U_3,Most,2786,0.999641062,S19S.0006,SW,U,,3.0,S19S_0006_ICR.3_p05,29-Jul-19,9:45,EST,Dead Run,2.0,Baltimore,Maryland,USA,Broadleaf deciduous tree. Shrub,Sunny,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Gravel/cobble (>2mm),40.5,29.0,Natural flow (seasonal),7.5,25.7,,,,,,,,,,Baltimore Ecosystem Study,NSF Long Term Ecological Research (LTER) site: Baltimore Ecosystem Study,Ben Glass-Siegel. Maura Roth-Gormley. Annie Blalock,17,https://waterdata.usgs.gov/md/nwis/uv?site_no=01589330,Upstream,39.31122222,-76.71666667,Yes,Baltimore Washington International Airport https://w1.weather.gov/data/obhistory/KBWI.html,No,6,No,,Yes,major highway I-70,Yes,,,Yes,,Conductivity: 1430 millisiemens. Conductivity and temperature tested with ECTestr11 Dual Range. Amber tube with yellow tape was mistakenly briefly unscrewed before sampling. ,WHONDRS_S19S,,,,,1.52,,,284.53,29.97,6.14,0.04,0.09
SW_S19S.0007_U_1,Average,2838,0.999647639,S19S.0007,SW,U,,1.0,S19S_0007_ICR.1_p05,29-Jul-19,10:55,PDT,Providence Creek / KREW's P304 creek,1.0,Shaver Lake ,California,USA,Needleleaf evergreen tree. Shrub,Sunny,Single-channel straight,Relatively steep gradient (e.g. mountainous or hilly terrain),Perennial,Sand,9.5,26.0,Natural flow (seasonal). Evapotranspiration,6.5,11.2,,,,,,,,,,Univ. Cal Merced and USFS PSW Research Station KREW project,USDA Forest Service Experimental Watershed site: King's River,Erin Stacy. Nancy Ojeda. Tyler Kappen,15,,Upstream,37.0525,-119.1962,Yes,KREW Lower Met (and Upper Met) https://www.fs.usda.gov/rds/archive/Product/RDS-2018-0028 [best quality from KREW; Joe Wagenbrenner can share data]; daily data with less QA/QC from CDEC Shaver Lake (SAV) station at http://cdec.water.ca.gov/dynamicapp/QueryF?s=SAV&end=2019-07-30,No,3,No,,Yes,Free range cattle on Forest. unknown distance; not seen at the time of sampling. ,Yes,pH. turbidity. DOC. TOC. nitrogen (ammonium. nitrate). and others; ,Not yet published; Joe Wagenbrenner is the best source for these ranges,Yes,http://criticalzone.org/sierra/publications/paper-book/; and https://www.fs.fed.us/psw/topics/water/kingsriver/publications_maps.shtml,"-Just below US site. the stream drops subsurface for ~8m. It appears to be due to an intact collapsed bank (that is not soggy nor does it have surface water) but could be through another subsurface channel. Upstream of sites are an old earthenwork dam that has since filled in with a meadow. 
-The DS site is small - ~0.3m2
- Summer storms are highly infrequent at this site. but there was a thunderstorm about 3-4 days before sampling. ",WHONDRS_S19S,,,,,0.93,-84.3,-12.35,0.39,0.19,0.12,0.04,0.04
SW_S19S.0007_U_2,Average,2571,0.999611046,S19S.0007,SW,U,,2.0,S19S_0007_ICR.2_p05,29-Jul-19,10:55,PDT,Providence Creek / KREW's P304 creek,1.0,Shaver Lake ,California,USA,Needleleaf evergreen tree. Shrub,Sunny,Single-channel straight,Relatively steep gradient (e.g. mountainous or hilly terrain),Perennial,Sand,9.5,26.0,Natural flow (seasonal). Evapotranspiration,6.5,11.2,,,,,,,,,,Univ. Cal Merced and USFS PSW Research Station KREW project,USDA Forest Service Experimental Watershed site: King's River,Erin Stacy. Nancy Ojeda. Tyler Kappen,15,,Upstream,37.0525,-119.1962,Yes,KREW Lower Met (and Upper Met) https://www.fs.usda.gov/rds/archive/Product/RDS-2018-0028 [best quality from KREW; Joe Wagenbrenner can share data]; daily data with less QA/QC from CDEC Shaver Lake (SAV) station at http://cdec.water.ca.gov/dynamicapp/QueryF?s=SAV&end=2019-07-30,No,3,No,,Yes,Free range cattle on Forest. unknown distance; not seen at the time of sampling. ,Yes,pH. turbidity. DOC. TOC. nitrogen (ammonium. nitrate). and others; ,Not yet published; Joe Wagenbrenner is the best source for these ranges,Yes,http://criticalzone.org/sierra/publications/paper-book/; and https://www.fs.fed.us/psw/topics/water/kingsriver/publications_maps.shtml,"-Just below US site. the stream drops subsurface for ~8m. It appears to be due to an intact collapsed bank (that is not soggy nor does it have surface water) but could be through another subsurface channel. Upstream of sites are an old earthenwork dam that has since filled in with a meadow. 
-The DS site is small - ~0.3m2
- Summer storms are highly infrequent at this site. but there was a thunderstorm about 3-4 days before sampling. ",WHONDRS_S19S,,,,,1.05,,,0.41,0.24,0.41,0.04,0.03
SW_S19S.0007_U_3,Least,1496,0.999331551,S19S.0007,SW,U,,3.0,S19S_0007_ICR.3_p05,29-Jul-19,10:55,PDT,Providence Creek / KREW's P304 creek,1.0,Shaver Lake ,California,USA,Needleleaf evergreen tree. Shrub,Sunny,Single-channel straight,Relatively steep gradient (e.g. mountainous or hilly terrain),Perennial,Sand,9.5,26.0,Natural flow (seasonal). Evapotranspiration,6.5,11.2,,,,,,,,,,Univ. Cal Merced and USFS PSW Research Station KREW project,USDA Forest Service Experimental Watershed site: King's River,Erin Stacy. Nancy Ojeda. Tyler Kappen,15,,Upstream,37.0525,-119.1962,Yes,KREW Lower Met (and Upper Met) https://www.fs.usda.gov/rds/archive/Product/RDS-2018-0028 [best quality from KREW; Joe Wagenbrenner can share data]; daily data with less QA/QC from CDEC Shaver Lake (SAV) station at http://cdec.water.ca.gov/dynamicapp/QueryF?s=SAV&end=2019-07-30,No,3,No,,Yes,Free range cattle on Forest. unknown distance; not seen at the time of sampling. ,Yes,pH. turbidity. DOC. TOC. nitrogen (ammonium. nitrate). and others; ,Not yet published; Joe Wagenbrenner is the best source for these ranges,Yes,http://criticalzone.org/sierra/publications/paper-book/; and https://www.fs.fed.us/psw/topics/water/kingsriver/publications_maps.shtml,"-Just below US site. the stream drops subsurface for ~8m. It appears to be due to an intact collapsed bank (that is not soggy nor does it have surface water) but could be through another subsurface channel. Upstream of sites are an old earthenwork dam that has since filled in with a meadow. 
-The DS site is small - ~0.3m2
- Summer storms are highly infrequent at this site. but there was a thunderstorm about 3-4 days before sampling. ",WHONDRS_S19S,,,,,1.06,,,0.38,0.18,0.12,0.04,0.04
SW_S19S.0008_U_1,Average,2779,0.999640158,S19S.0008,SW,U,,1.0,S19S_0008_ICR.1_p05,29-Jul-19,15:21,PDT,Teakettle T003 stream,1.0,Shaver Lake,California,USA,Needleleaf evergreen tree. Shrub,Sunny,Single-channel straight,Relatively steep gradient (e.g. mountainous or hilly terrain),Perennial,Sand,41.0,11.0,Natural flow (seasonal). Evapotranspiration,6.5,12.6,41.1 - may not be correctly calibrated,4.62 - may not be correctly calibrated,,,,,,,,Univ Cal Merced and USFS PSW Research Station - KREW project,USDA Forest Service Experimental Watershed site: King's River,Erin Stacy. Nancy Ojeda and Tyler Kappen,25,,Upstream,36.9608,-119.0274,Yes,KREW's Bull Upper Met (Contact Joe Wagenbrenner) for best QA/QC or data available now from CDEC - http://cdec.water.ca.gov/dynamicapp/QueryDaily?s=WSD&d=30-Jul-2019+16:21,Yes,4-Jan,No,,No,,Yes,Turbidity. TOC. TN (ammonium. nitrate),,Yes,https://www.fs.fed.us/psw/topics/water/kingsriver/; and some from https://www.fs.fed.us/psw/topics/water/kingsriver/,Lots of moss. some plants in stream; dense shrubs on banks. --- **! Part of 60 ml syringe broke off in filter; Used syringe from Providence (S19S_0007) and washed 6x in new stream before use. --- DS is ~25-30 m upstream of /weir & 15 m upstream of sediment basin. ,WHONDRS_S19S,,,,,1.87,-86.4,-12.61,0.22,0.23,0.12,0.04,0.03
SW_S19S.0008_U_2,Average,2054,0.999513145,S19S.0008,SW,U,,2.0,S19S_0008_ICR.2_p05,29-Jul-19,15:21,PDT,Teakettle T003 stream,1.0,Shaver Lake,California,USA,Needleleaf evergreen tree. Shrub,Sunny,Single-channel straight,Relatively steep gradient (e.g. mountainous or hilly terrain),Perennial,Sand,41.0,11.0,Natural flow (seasonal). Evapotranspiration,6.5,12.6,41.1 - may not be correctly calibrated,4.62 - may not be correctly calibrated,,,,,,,,Univ Cal Merced and USFS PSW Research Station - KREW project,USDA Forest Service Experimental Watershed site: King's River,Erin Stacy. Nancy Ojeda and Tyler Kappen,25,,Upstream,36.9608,-119.0274,Yes,KREW's Bull Upper Met (Contact Joe Wagenbrenner) for best QA/QC or data available now from CDEC - http://cdec.water.ca.gov/dynamicapp/QueryDaily?s=WSD&d=30-Jul-2019+16:21,Yes,4-Jan,No,,No,,Yes,Turbidity. TOC. TN (ammonium. nitrate),,Yes,https://www.fs.fed.us/psw/topics/water/kingsriver/; and some from https://www.fs.fed.us/psw/topics/water/kingsriver/,Lots of moss. some plants in stream; dense shrubs on banks. --- **! Part of 60 ml syringe broke off in filter; Used syringe from Providence (S19S_0007) and washed 6x in new stream before use. --- DS is ~25-30 m upstream of /weir & 15 m upstream of sediment basin. ,WHONDRS_S19S,,,,,1.78,,,0.21,0.24,0.12,0.04,0.02
SW_S19S.0008_U_3,Average,2642,0.999621499,S19S.0008,SW,U,,3.0,S19S_0008_ICR.3_p05,29-Jul-19,15:21,PDT,Teakettle T003 stream,1.0,Shaver Lake,California,USA,Needleleaf evergreen tree. Shrub,Sunny,Single-channel straight,Relatively steep gradient (e.g. mountainous or hilly terrain),Perennial,Sand,41.0,11.0,Natural flow (seasonal). Evapotranspiration,6.5,12.6,41.1 - may not be correctly calibrated,4.62 - may not be correctly calibrated,,,,,,,,Univ Cal Merced and USFS PSW Research Station - KREW project,USDA Forest Service Experimental Watershed site: King's River,Erin Stacy. Nancy Ojeda and Tyler Kappen,25,,Upstream,36.9608,-119.0274,Yes,KREW's Bull Upper Met (Contact Joe Wagenbrenner) for best QA/QC or data available now from CDEC - http://cdec.water.ca.gov/dynamicapp/QueryDaily?s=WSD&d=30-Jul-2019+16:21,Yes,4-Jan,No,,No,,Yes,Turbidity. TOC. TN (ammonium. nitrate),,Yes,https://www.fs.fed.us/psw/topics/water/kingsriver/; and some from https://www.fs.fed.us/psw/topics/water/kingsriver/,Lots of moss. some plants in stream; dense shrubs on banks. --- **! Part of 60 ml syringe broke off in filter; Used syringe from Providence (S19S_0007) and washed 6x in new stream before use. --- DS is ~25-30 m upstream of /weir & 15 m upstream of sediment basin. ,WHONDRS_S19S,,,,,1.96,,,0.21,0.22,0.12,0.04,0.03
SW_S19S.0009_U_1,Most,2326,0.999570077,S19S.0009,SW,U,,1.0,S19S_0009_ICR.1_p05,30-Jul-19,15:00,MDT,Little Wind River,6.0,Riverton,Wyoming,USA,Broadleaf deciduous tree. Shrub,Sunny,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Silt/mud (<0.0625mm),9.96,9.06,Natural flow (seasonal),8,25.6,,,,,,,,,,Stanford University,,Zach Perzan. Sharon Bone. Diana Valazquez,2000,https://waterdata.usgs.gov/wy/nwis/uv?site_no=06235500,Upstream,42.9975,-108.375417,,,Yes,,No,,No,,Yes,Surface and groundwater quality data is available from the DOE-LM GEMS database (https://gems.lm.doe.gov/#site=RVT),"Ca: 50-100 mg/L
Mg: 5-40 mg/L
Mn: 0.001-0.01 mg/L
Mo: 0.001-0.005 mg/L
Fe: 0.05 mg/L
",,,,WHONDRS_S19S,,,,,2.25,-127.9,-16.86,6.96,160.13,0.12,0.04,0.21
SW_S19S.0009_U_2,Most,3174,0.99968494,S19S.0009,SW,U,,2.0,S19S_0009_ICR.2_p05,30-Jul-19,15:00,MDT,Little Wind River,6.0,Riverton,Wyoming,USA,Broadleaf deciduous tree. Shrub,Sunny,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Silt/mud (<0.0625mm),9.96,9.06,Natural flow (seasonal),8,25.6,,,,,,,,,,Stanford University,,Zach Perzan. Sharon Bone. Diana Valazquez,2000,https://waterdata.usgs.gov/wy/nwis/uv?site_no=06235500,Upstream,42.9975,-108.375417,,,Yes,,No,,No,,Yes,Surface and groundwater quality data is available from the DOE-LM GEMS database (https://gems.lm.doe.gov/#site=RVT),"Ca: 50-100 mg/L
Mg: 5-40 mg/L
Mn: 0.001-0.01 mg/L
Mo: 0.001-0.005 mg/L
Fe: 0.05 mg/L
",,,,WHONDRS_S19S,,,,,3.16,,,6.73,157.71,0.12,0.04,0.23
SW_S19S.0010_U_1,Most,3288,0.999695864,S19S.0010,SW,U,,1.0,S19S_0010_ICR.1_p05,31-Jul-19,10:14,EDT,Altamaha,7.0,Doctortown,Georgia,USA,Needleleaf evergreen tree,Sunny,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Silt/mud (<0.0625mm),8.0,8.0,Natural flow (seasonal),6.7,30,,,,,,,,,,Marine Sciences/University of Georgia,NSF Long Term Ecological Research (LTER) site: Georgia Coastal Ecosystems,Christof Meile,1930,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02226000,Upstream,31.6546586,-81.827892,,,Yes,4,No,( No dams are directly on the Altamaha. Though some are on the Oconee and the Ocmulgee),,,Yes,USGS: https://waterdata.usgs.gov/ga/nwis/current/?type=quality&group_key=basin_cd; there is also LTER sampling further downstream (https://gce-lter.marsci.uga.edu),,,,,WHONDRS_S19S,,,,,2.52,-13.4,-2.9,7.44,13.55,0.85,0.04,0.11
SW_S19S.0010_U_2,Most,3026,0.999669531,S19S.0010,SW,U,,2.0,S19S_0010_ICR.2_p05,31-Jul-19,10:14,EDT,Altamaha,7.0,Doctortown,Georgia,USA,Needleleaf evergreen tree,Sunny,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Silt/mud (<0.0625mm),8.0,8.0,Natural flow (seasonal),6.7,30,,,,,,,,,,Marine Sciences/University of Georgia,NSF Long Term Ecological Research (LTER) site: Georgia Coastal Ecosystems,Christof Meile,1930,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02226000,Upstream,31.6546586,-81.827892,,,Yes,4,No,( No dams are directly on the Altamaha. Though some are on the Oconee and the Ocmulgee),,,Yes,USGS: https://waterdata.usgs.gov/ga/nwis/current/?type=quality&group_key=basin_cd; there is also LTER sampling further downstream (https://gce-lter.marsci.uga.edu),,,,,WHONDRS_S19S,,,,,2.26,,,7.24,13.32,0.81,0.04,0.11
