Sample_ID,Richness observed,Simpson's Diversity Index
SW_S19S.0021_U_1,3104,0.999677835
SW_S19S.0021_U_2,3382,0.999704317
SW_S19S.0021_U_3,3255,0.99969278
SW_S19S.0022_U_1,2122,0.999528746
SW_S19S.0022_U_2,2563,0.999609832
SW_S19S.0022_U_3,2429,0.999588308
SW_S19S.0023_U_1,2534,0.999605367
SW_S19S.0023_U_2,2820,0.99964539
SW_S19S.0023_U_3,3190,0.99968652
SW_S19S.0024_U_1,1140,0.999122807
SW_S19S.0025_U_1,2604,0.999615975
SW_S19S.0025_U_2,2628,0.999619482
SW_S19S.0025_U_3,2617,0.999617883
SW_S19S.0026_U_1,1926,0.999480789
SW_S19S.0026_U_2,1808,0.999446903
SW_S19S.0026_U_3,2849,0.999649
SW_S19S.0027_U_1,2474,0.999595796
SW_S19S.0027_U_2,2659,0.999623919
SW_S19S.0027_U_3,2444,0.999590835
SW_S19S.0028_U_1,2118,0.999527856
SW_S19S.0028_U_2,2561,0.999609528
SW_S19S.0028_U_3,2541,0.999606454
SW_S19S.0029_U_2,2571,0.999611046
SW_S19S.0029_U_3,2579,0.999612253
SW_S19S.0030_U_1,1950,0.999487179
SW_S19S.0030_U_3,1756,0.999430524
SW_S19S.0031_U_1,2016,0.999503968
SW_S19S.0031_U_2,1397,0.99928418
SW_S19S.0031_U_3,1595,0.999373041
SW_S19S.0032_U_1,2534,0.999605367
SW_S19S.0032_U_2,2880,0.999652778
SW_S19S.0032_U_3,3018,0.999668655
SW_S19S.0033_U_2,2479,0.999596612
SW_S19S.0033_U_3,2634,0.999620349
SW_S19S.0034_U_1,2679,0.999626726
SW_S19S.0034_U_2,2164,0.999537893
SW_S19S.0034_U_3,2553,0.999608304
SW_S19S.0035_U_1,2795,0.999642218
SW_S19S.0035_U_2,2699,0.999629492
SW_S19S.0035_U_3,2763,0.999638075
SW_S19S.0036_U_1,3000,0.999666667
SW_S19S.0036_U_2,2236,0.999552773
SW_S19S.0036_U_3,2625,0.999619048
SW_S19S.0037_U_1,2137,0.999532054
SW_S19S.0037_U_2,3090,0.999676375
SW_S19S.0038_U_1,2140,0.99953271
SW_S19S.0038_U_2,992,0.998991935
SW_S19S.0038_U_3,2568,0.999610592
SW_S19S.0039_U_1,3424,0.999707944
SW_S19S.0039_U_2,3180,0.999685535
SW_S19S.0039_U_3,3360,0.999702381
SW_S19S.0040_U_2,2745,0.999635701
SW_S19S.0040_U_3,2615,0.999617591
SW_S19S.0041_U_1,2137,0.999532054
SW_S19S.0041_U_2,2295,0.99956427
SW_S19S.0041_U_3,2658,0.999623777
SW_S19S.0042_U_1,3080,0.999675325
SW_S19S.0042_U_2,3197,0.999687207
SW_S19S.0042_U_3,2464,0.999594156
SW_S19S.0043_U_1,2774,0.99963951
SW_S19S.0043_U_2,2894,0.999654457
SW_S19S.0043_U_3,2627,0.999619338
SW_S19S.0044_U_1,3000,0.999666667
SW_S19S.0044_U_2,2658,0.999623777
SW_S19S.0044_U_3,2721,0.999632488
SW_S19S.0045_U_1,2902,0.99965541
SW_S19S.0045_U_2,2547,0.999607381
SW_S19S.0045_U_3,2411,0.999585234
SW_S19S.0047_U_1,2787,0.999641191
SW_S19S.0047_U_2,2432,0.999588816
SW_S19S.0047_U_3,2893,0.999654338
SW_S19S.0048_U_1,1572,0.999363868
SW_S19S.0048_U_2,718,0.998607242
SW_S19S.0048_U_3,2537,0.999605834
SW_S19S.0049_U_1,3043,0.999671377
SW_S19S.0049_U_2,1069,0.999064546
SW_S19S.0049_U_3,2296,0.99956446
SW_S19S.0050_U_1,2665,0.999624765
SW_S19S.0050_U_2,2680,0.999626866
SW_S19S.0050_U_3,2424,0.999587459
SW_S19S.0051_U_1,2853,0.999649492
SW_S19S.0051_U_2,2849,0.999649
SW_S19S.0051_U_3,2386,0.999580889
SW_S19S.0052_U_1,2814,0.999644634
SW_S19S.0052_U_2,2037,0.999509082
SW_S19S.0052_U_3,2813,0.999644508
SW_S19S.0053_U_1,3387,0.999704753
SW_S19S.0053_U_2,3272,0.999694377
SW_S19S.0053_U_3,3077,0.999675008
SW_S19S.0054_U_1,3170,0.999684543
SW_S19S.0054_U_2,2746,0.999635834
SW_S19S.0054_U_3,2060,0.999514563
SW_S19S.0055_U_1,2988,0.999665328
SW_S19S.0055_U_2,2907,0.999656003
SW_S19S.0055_U_3,3277,0.999694843
SW_S19S.0056_U_1,1782,0.999438833
SW_S19S.0056_U_2,3305,0.999697428
SW_S19S.0057_U_1,2968,0.999663073
SW_S19S.0057_U_2,2989,0.99966544
SW_S19S.0057_U_3,2495,0.999599198
SW_S19S.0058_U_1,1618,0.999381953
SW_S19S.0058_U_2,1519,0.999341672
SW_S19S.0058_U_3,1918,0.999478624
SW_S19S.0059_U_1,2812,0.999644381
SW_S19S.0059_U_2,2916,0.999657064
SW_S19S.0059_U_3,2800,0.999642857
SW_S19S.0060_U_1,2973,0.999663639
SW_S19S.0060_U_2,2656,0.999623494
SW_S19S.0060_U_3,2138,0.999532273
SW_S19S.0061_U_1,3209,0.999688376
SW_S19S.0061_U_2,2654,0.99962321
SW_S19S.0061_U_3,2989,0.99966544
SW_S19S.0062_U_1,3178,0.999685337
SW_S19S.0062_U_2,3071,0.999674373
SW_S19S.0062_U_3,2684,0.999627422
SW_S19S.0063_U_1,3154,0.999682942
SW_S19S.0063_U_2,3044,0.999671485
SW_S19S.0063_U_3,3249,0.999692213
SW_S19S.0064_U_1,2143,0.999533364
SW_S19S.0064_U_2,2710,0.999630996
SW_S19S.0064_U_3,2655,0.999623352
SW_S19S.0065_U_1,2731,0.999633834
SW_S19S.0065_U_2,2531,0.999604899
SW_S19S.0065_U_3,2893,0.999654338
SW_S19S.0066_U_1,3174,0.99968494
SW_S19S.0066_U_2,2907,0.999656003
SW_S19S.0067_U_1,2796,0.999642346
SW_S19S.0067_U_2,2822,0.999645641
SW_S19S.0067_U_3,3154,0.999682942
SW_S19S.0068_U_1,2346,0.999573743
SW_S19S.0068_U_2,2539,0.999606144
SW_S19S.0068_U_3,1012,0.999011858
SW_S19S.0069_U_1,1910,0.99947644
SW_S19S.0069_U_2,2533,0.999605211
SW_S19S.0069_U_3,2338,0.999572284
SW_S19S.0070_U_1,2683,0.999627283
SW_S19S.0070_U_2,2460,0.999593496
SW_S19S.0070_U_3,2415,0.999585921
SW_S19S.0071_U_1,2346,0.999573743
SW_S19S.0071_U_2,2055,0.999513382
SW_S19S.0071_U_3,2509,0.999601435
SW_S19S.0072_U_1,2609,0.999616711
SW_S19S.0072_U_2,2580,0.999612403
SW_S19S.0072_U_3,2761,0.999637812
SW_S19S.0073_U_1,2955,0.999661591
SW_S19S.0073_U_2,3275,0.999694656
SW_S19S.0073_U_3,3238,0.999691167
SW_S19S.0074_U_1,2815,0.99964476
SW_S19S.0074_U_2,2866,0.999651082
SW_S19S.0074_U_3,2704,0.999630178
SW_S19S.0075_U_1,2756,0.999637155
SW_S19S.0075_U_2,3104,0.999677835
SW_S19S.0075_U_3,1681,0.999405116
SW_S19S.0076_U_1,3080,0.999675325
SW_S19S.0076_U_2,2689,0.999628115
SW_S19S.0076_U_3,3055,0.999672668
SW_S19S.0077_U_1,2690,0.999628253
SW_S19S.0077_U_2,1881,0.999468368
SW_S19S.0077_U_3,2418,0.999586435
SW_S19S.0078_U_1,2787,0.999641191
SW_S19S.0078_U_2,2570,0.999610895
SW_S19S.0078_U_3,2832,0.999646893
SW_S19S.0079_U_1,2592,0.999614198
SW_S19S.0079_U_2,2706,0.999630451
SW_S19S.0079_U_3,2668,0.999625187
SW_S19S.0080_U_1,2804,0.999643367
SW_S19S.0080_U_2,2991,0.999665664
SW_S19S.0081_U_1,2980,0.99966443
SW_S19S.0081_U_2,3280,0.999695122
SW_S19S.0081_U_3,2854,0.999649615
SW_S19S.0082_U_1,3238,0.999691167
SW_S19S.0082_U_2,2462,0.999593826
SW_S19S.0082_U_3,2574,0.9996115
SW_S19S.0083_U_1,3278,0.999694936
SW_S19S.0083_U_2,2990,0.999665552
SW_S19S.0083_U_3,3027,0.99966964
SW_S19S.0084_U_1,2003,0.999500749
SW_S19S.0084_U_2,2595,0.999614644
SW_S19S.0084_U_3,2669,0.999625328
SW_S19S.0085_U_1,1032,0.999031008
SW_S19S.0085_U_2,2752,0.999636628
SW_S19S.0085_U_3,2707,0.999630587
SW_S19S.0086_U_2,1444,0.999307479
SW_S19S.0086_U_3,2125,0.999529412
SW_S19S.0087_U_1,3092,0.999676585
SW_S19S.0087_U_2,2994,0.999665999
SW_S19S.0087_U_3,2797,0.999642474
SW_S19S.0089_U_1,3049,0.999672024
SW_S19S.0089_U_2,3195,0.999687011
SW_S19S.0089_U_3,2657,0.999623636
SW_S19S.0090_U_2,3036,0.999670619
SW_S19S.0090_U_3,3193,0.999686815
SW_S19S.0091_U_3,1508,0.99933687
SW_S19S.0092_U_1,2271,0.999559665
SW_S19S.0092_U_2,2202,0.999545867
SW_S19S.0092_U_3,2231,0.999551771
SW_S19S.0093_U_1,2893,0.999654338
SW_S19S.0093_U_2,2952,0.999661247
SW_S19S.0093_U_3,2526,0.999604117
SW_S19S.0094_U_1,3112,0.999678663
SW_S19S.0094_U_2,2457,0.999593
SW_S19S.0094_U_3,2460,0.999593496
SW_S19S.0096_U_1,2143,0.999533364
SW_S19S.0096_U_2,2009,0.99950224
SW_S19S.0097_U_1,3098,0.999677211
SW_S19S.0097_U_2,3010,0.999667774
SW_S19S.0097_U_3,2082,0.999519693
SW_S19S.0098_U_1,2453,0.999592336
SW_S19S.0098_U_2,2315,0.999568035
SW_S19S.0098_U_3,1862,0.999462943
SW_S19S.0099_U_1,2676,0.999626308
SW_S19S.0099_U_2,3217,0.999689151
SW_S19S.0099_U_3,2423,0.999587288
SW_S19S.0100_U_1,1289,0.999224205
SW_S19S.0100_U_3,2358,0.999575912
