Sample_ID,Richness observed,Simpson's Diversity Index
SED_S19S.0044_U_Field,2116,0.99952741
SED_S19S.0045_M_Field,1150,0.999130435
SED_S19S.0046_D_Field,1833,0.999454446
SED_S19S.0047_D_Field,1623,0.999383857
SED_S19S.0049_D_Field,2178,0.999540863
SED_S19S.0049_M_Field,1752,0.999429224
SED_S19S.0049_U_Field,2127,0.999529854
SED_S19S.0050_D_Field,1584,0.999368687
SED_S19S.0050_M_Field,1579,0.999366688
SED_S19S.0050_U_Field,2132,0.999530957
SED_S19S.0051_M_Field,1508,0.99933687
SED_S19S.0051_U_Field,1327,0.99924642
SED_S19S.0052_D_Field,1641,0.999390615
SED_S19S.0052_M_Field,1887,0.999470058
SED_S19S.0052_U_Field,1991,0.99949774
SED_S19S.0053_D_Field,2220,0.99954955
SED_S19S.0053_M_Field,1963,0.999490576
SED_S19S.0053_U_Field,2200,0.999545455
SED_S19S.0054_D_Field,2186,0.999542543
SED_S19S.0054_M_Field,2230,0.99955157
SED_S19S.0054_U_Field,1941,0.999484802
SED_S19S.0055_D_Field,1537,0.999349382
SED_S19S.0055_M_Field,1548,0.999354005
SED_S19S.0055_U_Field,1490,0.999328859
SED_S19S.0056_D_Field,2250,0.999555556
SED_S19S.0056_M_Field,2434,0.999589154
SED_S19S.0056_U_Field,2674,0.999626028
SED_S19S.0057_D_Field,1943,0.999485332
SED_S19S.0057_M_Field,1892,0.999471459
SED_S19S.0057_U_Field,1763,0.999432785
SED_S19S.0058_D_Field,2097,0.999523128
SED_S19S.0058_U_Field,2450,0.999591837
SED_S19S.0059_D_Field,1029,0.999028183
SED_S19S.0059_M_Field,1874,0.999466382
SED_S19S.0059_U_Field,921,0.998914224
SED_S19S.0060_D_Field,1822,0.999451153
SED_S19S.0060_M_Field,2087,0.999520843
SED_S19S.0060_U_Field,2134,0.999531396
SED_S19S.0061_D_Field,2105,0.999524941
SED_S19S.0061_M_Field,2225,0.999550562
SED_S19S.0061_U_Field,604,0.998344371
SED_S19S.0062_D_Field,2542,0.999606609
SED_S19S.0062_M_Field,2400,0.999583333
SED_S19S.0062_U_Field,2702,0.999629904
SED_S19S.0063_D_Field,1217,0.999178307
SED_S19S.0063_M_Field,2161,0.999537251
SED_S19S.0063_U_Field,1658,0.999396864
SED_S19S.0064_D_Field,1989,0.999497235
SED_S19S.0064_M_Field,2084,0.999520154
SED_S19S.0064_U_Field,1237,0.999191593
SED_S19S.0065_D_Field,2437,0.999589659
SED_S19S.0065_M_Field,2322,0.999569337
SED_S19S.0065_U_Field,2136,0.999531835
SED_S19S.0066_D_Field,2317,0.999568407
SED_S19S.0066_M_Field,1999,0.99949975
SED_S19S.0066_U_Field,2197,0.999544834
SED_S19S.0067_D_Field,1491,0.999329309
SED_S19S.0067_M_Field,2022,0.99950544
SED_S19S.0068_M_Field,2608,0.999616564
SED_S19S.0068_U_Field,1875,0.999466667
SED_S19S.0069_D_Field,2317,0.999568407
SED_S19S.0069_M_Field,2474,0.999595796
SED_S19S.0069_U_Field,2478,0.999596449
SED_S19S.0070_D_Field,2385,0.999580713
SED_S19S.0070_M_Field,2190,0.999543379
SED_S19S.0070_U_Field,2528,0.99960443
SED_S19S.0071_M_Field,2055,0.999513382
SED_S19S.0071_U_Field,1779,0.999437886
SED_S19S.0072_M_Field,2120,0.999528302
SED_S19S.0072_U_Field,2325,0.999569892
SED_S19S.0073_D_Field,2112,0.999526515
SED_S19S.0073_M_Field,1999,0.99949975
SED_S19S.0073_U_Field,2080,0.999519231
SED_S19S.0074_M_Field,2031,0.999507632
SED_S19S.0074_U_Field,2066,0.999515973
SED_S19S.0075_D_Field,1790,0.999441341
SED_S19S.0075_M_Field,2010,0.999502488
SED_S19S.0076_D_Field,1642,0.999390987
SED_S19S.0076_M_Field,1673,0.999402271
SED_S19S.0076_U_Field,2026,0.999506417
SED_S19S.0077_M_Field,2185,0.999542334
SED_S19S.0077_U_Field,2104,0.999524715
SED_S19S.0078_D_Field,2277,0.999560826
SED_S19S.0078_M_Field,1844,0.999457701
SED_S19S.0078_U_Field,2326,0.999570077
SED_S19S.0079_D_Field,252,0.996031746
SED_S19S.0080_D_Field,2407,0.999584545
SED_S19S.0080_M_Field,1855,0.999460916
SED_S19S.0080_U_Field,1668,0.99940048
SED_S19S.0081_M_Field,2232,0.999551971
SED_S19S.0081_U_Field,1503,0.999334664
SED_S19S.0082_D_Field,2001,0.99950025
SED_S19S.0082_M_Field,2052,0.999512671
SED_S19S.0082_U_Field,1794,0.999442586
SED_S19S.0083_D_Field,2032,0.999507874
SED_S19S.0083_M_Field,1781,0.999438518
SED_S19S.0084_D_Field,2231,0.999551771
SED_S19S.0084_M_Field,1784,0.999439462
SED_S19S.0084_U_Field,2184,0.999542125
SED_S19S.0085_D_Field,1532,0.999347258
SED_S19S.0085_M_Field,1766,0.999433749
SED_S19S.0086_D_Field,1925,0.999480519
SED_S19S.0086_M_Field,2210,0.999547511
SED_S19S.0086_U_Field,1983,0.999495714
SED_S19S.0087_D_Field,788,0.998730964
SED_S19S.0087_U_Field,1027,0.99902629
SED_S19S.0089_D_Field,1647,0.999392835
SED_S19S.0089_U_Field,1801,0.999444753
SED_S19S.0090_D_Field,1926,0.999480789
SED_S19S.0090_M_Field,2000,0.9995
SED_S19S.0090_U_Field,2208,0.999547101
SED_S19S.0091_D_Field,1963,0.999490576
SED_S19S.0091_U_Field,1645,0.999392097
SED_S19S.0092_D_Field,1806,0.99944629
SED_S19S.0092_M_Field,984,0.99898374
SED_S19S.0092_U_Field,1998,0.999499499
SED_S19S.0093_D_Field,2046,0.999511241
SED_S19S.0093_M_Field,1017,0.999016716
SED_S19S.0093_U_Field,953,0.998950682
SED_S19S.0094_D_Field,1641,0.999390615
SED_S19S.0094_M_Field,1529,0.999345978
SED_S19S.0094_U_Field,2377,0.999579302
SED_S19S.0096_M_Field,1479,0.999323867
SED_S19S.0097_D_Field,1740,0.999425287
SED_S19S.0097_M_Field,1690,0.999408284
SED_S19S.0097_U_Field,1839,0.999456226
SED_S19S.0099_D_Field,2065,0.999515738
SED_S19S.0099_M_Field,1972,0.999492901
SED_S19S.0099_U_Field,2013,0.999503229
SED_S19S.0100_D_Field,2109,0.999525842
SED_S19S.0100_M_Field,2120,0.999528302
SED_S19S.0100_U_Field,2300,0.999565217
